Identificador|periodo|DIAS1|DIAS2|DIAS3|DIAS4|DIAS5|DIAS6|DIAS0|Numero_Producto|GENERO|Saldo_Mora1|Cupo|Saldo_Mora2|Saldo1|Saldo_Mora3|Saldo2|Saldo_Mora4|Saldo3|Saldo_Mora5|Saldo4|Saldo_Mora6|Saldo5|Saldo6
92966517647|201806|0|0|0|0|0|0|0|1|M|||||||||||||
92966457920|201806|0|0|0|0|0|0|0|1|F|0|0|0|0|0|0|0|0|0|0|0|0|42020
92966474326|201803|0|0|0|0|0|0|0|1|F|0|11832936,04|0|11471545,7|0|11106054,47|0|10736415,83|0|10362582,73|0|9984507,55|9602142,17
92967472692|201806|0|0|0|0|0|0|0|1|M|||||||||||||
92966464373|201806|0|0|22|55|0|22|23|1|F|0|1465688,92|0|1485926,62|58987,31|1512018,92|0|1419592,18|59084,36|1444682,55|0|1351041,54|1315912,1
92966522976|201709|0|0|0|0|0|0|0|1|M|0|72853300,53|0|72517839,2|0|72178720,18|0|71835903,6|0|71489349,14|0|71139016,04|70784863,11
92966497196|201803|0|0|0|0|0|0|0|1||||||||||||||
92966486829|201709|3|2|0|3|0|28|1|1|F|0|22043407,39|0|21754514,7|0|21445082,85|676172,97|21806696,48|0|20810752,56|675636,44|21161319,28|20832337,67
92967397963|201712|0|0|0|0|0|0|0|1|M|0|24124088,84|0|23892454|0|23658536,85|0|23422312,88|0|23183758,98|0|22942851,98|22699569
92966509135|201709|86|116|0|0|0|0|85|2|M|0|33314734,11|0|32999521,36|244041,96|32925128,88|0|32359392,9|0|32034405,02|573579,97|32279670,98|31991369,31
92966511678|201709|0|13|0|0|9|0|10|1|M|110641,32|1192793,65|25223|1051330,65|92173,97|1073118,65|21715|958130,19|85427,31|978704,19|19422|860490,19|706266,19
92967425752|201712|0|0|0|0|0|0|0|1|M|||||||||||||
92966463043|201712|0|0|0|0|0|0|0|1|F|0|15392949,19|0|14954480,2|0|14511359,79|0|14063538,61|0|13610966,79|0|13153593,94|12691369,13
92966473259|201709|0|0|0|0|0|0|0|1||0|3001781,35|90|3060655,85|0|2946921,61|840|2842971,89|0|2735475,65|0|2626919,33|2517173,28
92966472273|201809|0|11|0|0|0|NA|0|1|F|66122|3060914.15|76410|2824472.98|345428.52|3049376.1|61681|2994286.45|67615|3067291.61|61943|3056213.51|3061944.23
92966512595|201809|0|0|9|43|71|NA|9|1||12923|933938|43229|2116611|46303|2119115.98|48473|2501940.39|55375|2473020.94|169907|2540900.94|2382988.97
92966451084|201806|62|93|121|0|30|0|30|1|M|66123,58|1337149,33|96966,58|1365950,33|101216,04|1206235,25|36555,4|1146360,61|87969,31|1173626,61|167544,48|1200497,61|1227597,61
92966454154|201712|0|0|0|0|0|0|0|1|M|0|0|0|0|0|0|0|0|0|0|0|0|0
92966512427|201809|75|105|NA|NA|NA|NA|42|1|M|484319.5|5631246.6|137022|5075998.67|501791.23|7041276.67|160714|6385161.03|558411.2|6530009.03|150862|5818979.92|6032218.73
92966524979|201806|0|0|0|0|0|0|0|1|M|||||||||||||
92966456065|201806|13|0|9|0|0|0|0|1|M|0|29710|0|29710|0|29710|0|29713|0|30406|0|30406|30406
92966470285|201709|0|0|0|0|0|0|0|1|F|0|0|0|0|0|0|5009|465040|13653|612905|13132|612384|350839,19
92966450242|201709|0|2|0|0|0|0|1|3|M|2720025,76|75219755,08|0|70786825,27|0|69051859,51|0|67294547|2715421,68|68230022,06|2711491,6|66423219,87|61885634,28
92966443400|201712|57|85|113|146|177|206|23|3|M|||||||||0|62000000|0|62535886,84|62594734,72
92966487436|201806|0|14|42|0|0|0|43|1||113591|4415464,7|104263|4495573,23|115557|4497968,83|325708,61|4592583,94|500405,52|4657482,02|105482|4469200,85|4349141,9
92967457011|201709|0|0|0|0|0|0|0|1|M|0|91659844,45|0|91427168,77|0|91192726,9|0|90956505,64|0|90718490,88|0|90478669,61|90237027,9
92966450239|201709|0|8|6|0|0|0|7|2|M|1230394,33|42672339,84|1147897,63|41908473,37|1228728,75|41299802,71|1227023,14|40600366,96|1227060,35|398.943.473.299.999|1214186,45|39166990,53|38433449,37
92966493807|201806|0|0|9|0|0|0|10|1|F|80026|2739728,38|64173|2638385,23|216593,88|2699803,23|388710,78|2759050,39|533702,82|2819791,29|687795,47|2882160,29|2381516,66
92966512731|201806|0|0|0|0|0|0|0|1||0|0|0|0|0|0|0|0|0|0|0|0|0
92966525029|201712|0|0|0|0|0|0|0|1|M|0|6905088,89|0|6757735,79|0|6607951,44|0|6455695,53|0|6300927,8|0|6143605,94|5983688,64
92966481296|201709|0|0|0|0|0|0|0|1||||||||||0|0|0|0|0
92966449551|201803|0|0|0|0|0|0|0|2|M|42673|3887733,58|50519|3862951,58|39751|3615117,83|54769|4991491,06|61118|4952368,06|51633|4694221,3|4799880,3
92966490341|201712|119|147|175|208|239|268|85|2|F|0|0|8409|634029|73733,58|647802,58|67768,58|605537,58|12217|800230,58|15313|726684,58|1234846,58
92967379369|201712|57|85|113|146|177|206|23|2|F|0|13729129,8|0|13527855,56|0|13324520,93|0|13119104,83|0|12911585,96|0|12701942,79|12498466,56
